label, conf
cat ,0.997473955154419
tabby cat ,0.30844953656196594
whiskers ,0.3001704514026642
maine coon ,0.32171761989593506
small to medium sized cats ,0.7987512946128845
kitten ,0.3615228831768036
pet ,0.8389395475387573
animal ,0.9441419243812561
